target_index,target_string,match_index,matched_string,company_id
2,DWS Investment GmbH,3287,Deka Investment GmbH,
2,DWS Investment GmbH,12428,TL Investment GmbH,
2,DWS Investment GmbH,10850,SEB Investment GmbH,
3,Allianz Global Investors GmbH,818,Allianz Global Investors Europe GmbH,
3,Allianz Global Investors GmbH,821,Allianz Global Investors Fund,
3,Allianz Global Investors GmbH,816,Allianz Global Investors AG,
3,Allianz Global Investors GmbH,823,Allianz Global Investors Holding GmbH,
4,"The Capital Group Companies, Inc.",12660,The Capital Group Companies Inc.,
7,LBBW Asset Management Investmentgesellschaft mbH,3338,Deutsche Asset Management Investmentgesellschaft mbH,
14,"BlackRock Financial Management, Inc.",1840,BlackRock Financial Management Inc.,
14,"BlackRock Financial Management, Inc.",1841,BlackRock Financial Management Inc. New York,
19,Allianz Aktiengesellschaft,12511,Talanx Aktiengesellschaft,
19,Allianz Aktiengesellschaft,871,Altira Aktiengesellschaft,
23,Deutsche Balaton Aktiengesellschaft,3347,Deutsche Bank Aktiengesellschaft,
23,Deutsche Balaton Aktiengesellschaft,3393,Deutsche Telekom Aktiengesellschaft,
23,Deutsche Balaton Aktiengesellschaft,3375,Deutsche Post Aktiengesellschaft,
23,Deutsche Balaton Aktiengesellschaft,3343,Deutsche Bahn Aktiengesellschaft,
24,Landesbank Baden-Württemberg,7585,Land Baden-Württemberg,
24,Landesbank Baden-Württemberg,7457,LBBW Landesbank Baden-Württemberg,
25,"Porsche, Kai Alexander",9984,"Porsche, Felix Alexander",
27,"Porsche, Dr. Wolfgang",9982,"Porsche, Dr., Wolfgang",
27,"Porsche, Dr. Wolfgang",9983,"Porsche, Dr., Wolfgang, GmbH",
30,VV Beteiligungen Aktiengesellschaft,3122,DIVACO Beteiligungs Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,13341,Vivus Beteiligungs-Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,6812,KAP Beteiligungs-Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,6937,KST Beteiligungs Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,4708,GAH Beteiligungs Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,5486,HDI Beteiligung Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,1217,BBG Beteiligungs-Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,3175,DNI Beteiligungen Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,10938,SPARTA Beteiligungen Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,2431,CanTec Beteiligungen Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,12992,UNIGRUND Beteiligungen Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,3296,Delta Beteiligungen Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,3153,DM Beteiligungen Aktiengesellschaft,
30,VV Beteiligungen Aktiengesellschaft,5281,Greenwich Beteiligungen Aktiengesellschaft,
33,Lazard Frères Gestion S.A.S.,7692,Lazard Frères Gestion,
34,"Porsche, Ing. Hans-Peter",9991,"Porsche, Hans-Peter",
36,Deutsche Bank Aktiengesellschaft,3344,Deutsche Balaton Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3599,Dresdner Bank Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3371,Deutsche Lufthansa Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3357,Deutsche Börse Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3393,Deutsche Telekom Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3375,Deutsche Post Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3380,Deutsche Postbank Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3206,DZ Bank Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3343,Deutsche Bahn Aktiengesellschaft,
36,Deutsche Bank Aktiengesellschaft,3350,Deutsche Bank Lübeck Aktiengesellschaft,
37,RWE Aktiengesellschaft,3685,E.ON Aktiengesellschaft,
37,RWE Aktiengesellschaft,4806,GMV Aktiengesellschaft,
37,RWE Aktiengesellschaft,8054,MAN Aktiengesellschaft,
37,RWE Aktiengesellschaft,10214,RAG Aktiengesellschaft,
37,RWE Aktiengesellschaft,6808,K+S Aktiengesellschaft,
37,RWE Aktiengesellschaft,10353,RWE Energy Aktiengesellschaft,
37,RWE Aktiengesellschaft,2304,CLC Aktiengesellschaft,
37,RWE Aktiengesellschaft,13992,XENIA Aktiengesellschaft,
37,RWE Aktiengesellschaft,10359,RWE Plus Aktiengesellschaft,
37,RWE Aktiengesellschaft,359,ARTAX Aktiengesellschaft,
37,RWE Aktiengesellschaft,8139,METRO Aktiengesellschaft,
37,RWE Aktiengesellschaft,10967,STO Aktiengesellschaft,
37,RWE Aktiengesellschaft,12483,TUI Aktiengesellschaft,
